timestamp,target
01-01-80 18:00,72.1
01-01-81 00:00,33.5
01-01-82 00:00,33.3
01-01-83 06:00,86.4
01-01-84 06:00,76.6
01-01-85 06:00,76.8
01-01-86 06:00,76.1
01-01-87 12:00,84.3
01-01-88 18:00,82.3
01-01-89 00:00,87.8
01-01-90 06:00,76.2
01-01-91 00:00,14.2
01-01-92 00:00,14.3
01-01-93 06:00,76.2
01-01-94 12:00,52.9
01-01-95 18:00,30.6
01-01-96 18:00,55.2
01-01-97 00:00,87.1
01-01-98 00:00,87.0
01-01-99 00:00,87.6
01-01-01 06:00,73.5
01-01-02 06:00,38.9
01-01-03 18:00,30.6
01-01-04 06:00,73.5
01-01-05 06:00,38.1
01-01-06 06:00,38.9
01-01-07 06:00,73.5
01-01-08 06:00,76.2
01-01-09 00:00,61.0
01-01-10 12:00,17.2
01-01-11 18:00,62.7
01-01-12 18:00,30.6
01-01-13 18:00,30.2
01-01-14 00:00,61.0
01-01-15 06:00,27.4
01-01-16 06:00,27.4
01-01-17 18:00,30.6
01-01-18 12:00,54.9
01-01-19 18:00,35.4
01-01-20 00:00,25.5
01-01-21 00:00,35.5
01-01-22 06:00,73.5
01-01-23 06:00,39.2
