timestamp,target
01-01-80 18:00,5172.1
01-01-81 00:00,5133.5
01-01-82 06:00,5186.9
01-01-83 12:00,5084.6
01-01-84 18:00,5182.0
01-01-85 00:00,5414.3
01-01-86 06:00,5576.2
01-01-87 12:00,5752.9
01-01-88 18:00,5955.2
01-01-89 00:00,6087.8
01-01-90 06:00,6238.9
01-01-91 12:00,6317.2
01-01-92 18:00,6262.7
01-01-93 00:00,6361.0
01-01-94 06:00,6427.4
01-01-95 12:00,6654.9
01-01-96 18:00,6835.4
01-01-97 00:00,6925.5
01-01-98 06:00,7073.5
01-01-99 12:00,7144.0
01-01-00 18:00,7230.6
01-01-01 00:00,7349.6
01-01-02 06:00,7339.2
01-01-03 12:00,7250.8
01-01-04 18:00,7294.6
01-01-05 00:00,7393.9
01-01-06 06:00,7560.9
01-01-07 12:00,7651.4
01-01-08 18:00,7587.3
01-01-09 00:00,7530.5
01-01-10 06:00,7261.1
